id,choice_set,profil,valg,livstidsindkomst,arbejdsløshed,længde,adgangskvotient,åbenhed,velfærdsarbejde,placering,target,target_variation,arbejdsløshed_target,åbenhed_target,beskæftigelse,sabbatår,køn,storby,forældre_udd,karaktergennemsnit,studie_start,studie_valg,højt_snit
188987649,1,1,1,21 mio,5%,4 år,6,Specifikke jobs,Ikke mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Lighed,3.g,0,Mand,Uden for de fire store byer,LVU,7.7,1,HA,9 eller under
188987649,1,2,0,13 mio,15%,5 år,Alle optaget,Specifikke jobs,Ikke mulighed for velfærdsjobs,I de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Lighed,3.g,0,Mand,Uden for de fire store byer,LVU,7.7,1,HA,9 eller under
188987649,2,1,0,13 mio,5%,2 år,6,Mange jobs,Ikke mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,3.g,0,Mand,Uden for de fire store byer,LVU,7.7,1,HA,9 eller under
188987649,2,2,1,17 mio,20%,5 år,10,Specifikke jobs,Ikke mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,3.g,0,Mand,Uden for de fire store byer,LVU,7.7,1,HA,9 eller under
188987649,3,1,0,13 mio,15%,"3,5 år",Alle optaget,Mange jobs,Ikke mulighed for velfærdsjobs,I de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,3.g,0,Mand,Uden for de fire store byer,LVU,7.7,1,HA,9 eller under
188987649,3,2,1,21 mio,10%,4 år,6,Specifikke jobs,Ikke mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,3.g,0,Mand,Uden for de fire store byer,LVU,7.7,1,HA,9 eller under
188987649,4,1,1,17 mio,20%,2 år,Kun kvote 2,Mange jobs,Mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,3.g,0,Mand,Uden for de fire store byer,LVU,7.7,1,HA,9 eller under
188987649,4,2,0,13 mio,5%,2 år,Alle optaget,Specifikke jobs,Ikke mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,3.g,0,Mand,Uden for de fire store byer,LVU,7.7,1,HA,9 eller under
188987649,5,1,0,17 mio,15%,5 år,6,Mange jobs,Ikke mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,3.g,0,Mand,Uden for de fire store byer,LVU,7.7,1,HA,9 eller under
188987649,5,2,1,25 mio,10%,"3,5 år",Kun kvote 2,Specifikke jobs,Ikke mulighed for velfærdsjobs,I de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,3.g,0,Mand,Uden for de fire store byer,LVU,7.7,1,HA,9 eller under
188992279,1,1,1,21 mio,15%,4 år,Alle optaget,Mange jobs,Mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,2.hf,0,Kvinde,Uden for de fire store byer,Gymnasial,9.6,1,Vet med,Over 9
188992279,1,2,0,17 mio,5%,5 år,10,Specifikke jobs,Ikke mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,2.hf,0,Kvinde,Uden for de fire store byer,Gymnasial,9.6,1,Vet med,Over 9
188992279,2,1,0,13 mio,5%,"3,5 år",6,Mange jobs,Mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,2.hf,0,Kvinde,Uden for de fire store byer,Gymnasial,9.6,1,Vet med,Over 9
188992279,2,2,1,17 mio,15%,2 år,Kun kvote 2,Specifikke jobs,Ikke mulighed for velfærdsjobs,I de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,2.hf,0,Kvinde,Uden for de fire store byer,Gymnasial,9.6,1,Vet med,Over 9
188992279,3,1,1,13 mio,15%,2 år,Alle optaget,Mange jobs,Ikke mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,2.hf,0,Kvinde,Uden for de fire store byer,Gymnasial,9.6,1,Vet med,Over 9
188992279,3,2,0,21 mio,20%,"3,5 år",10,Specifikke jobs,Ikke mulighed for velfærdsjobs,I de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,2.hf,0,Kvinde,Uden for de fire store byer,Gymnasial,9.6,1,Vet med,Over 9
188992279,4,1,1,13 mio,10%,"3,5 år",6,Specifikke jobs,Mulighed for velfærdsjobs,I de fire store byer,Ikke opfyldt,Ikke opfyldt,Opfyldt/lighed,Lighed,2.hf,0,Kvinde,Uden for de fire store byer,Gymnasial,9.6,1,Vet med,Over 9
188992279,4,2,0,25 mio,10%,4 år,10,Specifikke jobs,Ikke mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Opfyldt/lighed,Lighed,2.hf,0,Kvinde,Uden for de fire store byer,Gymnasial,9.6,1,Vet med,Over 9
188992279,5,1,0,21 mio,20%,"3,5 år",Kun kvote 2,Mange jobs,Ikke mulighed for velfærdsjobs,I de fire store byer,Opfyldt/lighed,Opfyldt,Ikke opfyldt,Variation,2.hf,0,Kvinde,Uden for de fire store byer,Gymnasial,9.6,1,Vet med,Over 9
188992279,5,2,1,25 mio,10%,5 år,Alle optaget,Specifikke jobs,Ikke mulighed for velfærdsjobs,Uden for de fire store byer,Opfyldt/lighed,Opfyldt,Ikke opfyldt,Variation,2.hf,0,Kvinde,Uden for de fire store byer,Gymnasial,9.6,1,Vet med,Over 9
189066171,1,1,1,21 mio,20%,"3,5 år",6,Specifikke jobs,Ikke mulighed for velfærdsjobs,I de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Lighed,3.g,0,Kvinde,Uden for de fire store byer,Folkeskole,7,1,Journalist,9 eller under
189066171,1,2,0,13 mio,10%,4 år,Kun kvote 2,Specifikke jobs,Ikke mulighed for velfærdsjobs,I de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Lighed,3.g,0,Kvinde,Uden for de fire store byer,Folkeskole,7,1,Journalist,9 eller under
189066171,2,1,0,17 mio,5%,2 år,Kun kvote 2,Mange jobs,Ikke mulighed for velfærdsjobs,Uden for de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,3.g,0,Kvinde,Uden for de fire store byer,Folkeskole,7,1,Journalist,9 eller under
189066171,2,2,1,21 mio,20%,5 år,Alle optaget,Specifikke jobs,Ikke mulighed for velfærdsjobs,I de fire store byer,Ikke opfyldt,Ikke opfyldt,Ikke opfyldt,Variation,3.g,0,Kvinde,Uden for de fire store byer,Folkeskole,7,1,Journalist,9 eller under
189066171,3,1,1,17 mio,5%,5 år,Kun kvote 2,Specifikke jobs,Mulighed for velfærdsjobs,I de fire store byer,Ikke opfyldt,Ikke opfyldt,Opfyldt/lighed,Lighed,3.g,0,Kvinde,Uden for de fire store byer,Folkeskole,7,1,Journalist,9 eller under
189066171,3,2,0,13 mio,10%,2 år,Alle optaget,Specifikke jobs,Ikke mulighed for velfærdsjobs,I de fire store byer,Ikke opfyldt,Ikke opfyldt,Opfyldt/lighed,Lighed,3.g,0,Kvinde,Uden for de fire store byer,Folkeskole,7,1,Journalist,9 eller under
