RESPONDENT_ID,SURVEY_ID,CHOICE_SET,LABEL,CHOICE_INDICATOR,LIVSTIDSINDKOMST,ARBEJDSLOSHED,LAENGDE,ADGANGSKVOTIENT,ABENHED,JOBTYPE,PLACERING,Q3_EDUCATION_O1_JEG_GAR_I_3_G,Q3_EDUCATION_O2_JEG_GAR_I_2_G,Q3_EDUCATION_O3_JEG_GAR_I_1_G,Q3_EDUCATION_O4_JEG_GAR_I_2_HF,Q3_EDUCATION_O5_JEG_GAR_I_1_HF,Q3_EDUCATION_O6_JEG_HAR_SABBATAR,Q3_EDUCATION_O7_INGEN_AF_OVENSTAENDE,Q4_SABBATAR,Q5_GENDER_O1_KVINDE,Q5_GENDER_O2_MAND,Q5_GENDER_O3_ANDET,Q7_SIZE_OF_CITY_O1_OVER_1_MIO_INDBYGGER_KOBENHAVN,Q7_SIZE_OF_CITY_O2_MELLEM_100_000_OG_1_MIO_INDBYGGERE_AARHUS_ODENSE_OG_AALBORG,Q7_SIZE_OF_CITY_O3_MELLEM_50_000_OG_100_000_INDBYGGERE,Q7_SIZE_OF_CITY_O4_MELLEM_20_000_OG_50_000_INDBYGGERE,Q7_SIZE_OF_CITY_O5_UNDER_20_000_INDBYGGERE,Q8_PARENT_EDUCATION_O1_FOLKESKOLE,Q8_PARENT_EDUCATION_O2_GYMNASIE_STX_HHX_HTX_HF,Q8_PARENT_EDUCATION_O3_ERHVERVSUDDANNELSE,Q8_PARENT_EDUCATION_O4_KORT_VIDEREGAENDE_UDDANNELSE_TYPISK_ERHVERVSAKADEMIUDDANNELSER,Q8_PARENT_EDUCATION_O5_MELLEMLANG_VIDEREGAENDE_UDDANNELSE_TYPISK_PROFESSIONSBACHELORER,Q8_PARENT_EDUCATION_O6_LANG_VIDEREGAENDE_UDDANNELSE_TYPISK_UNIVERSITETSUDDANNELSER,Q8_PARENT_EDUCATION_O7_VED_IKKE,Q12_EDUCATION,Q13_HAVE_YOU_APPLIED_FOR_A_HIGHER_EDUCATION_YET_O1_JA,Q13_HAVE_YOU_APPLIED_FOR_A_HIGHER_EDUCATION_YET_O2_NEJ_MEN_JEG_PLANLAEGGER_AT_GORE_DET_I_AR,Q13_HAVE_YOU_APPLIED_FOR_A_HIGHER_EDUCATION_YET_O3_NEJ_OG_JEG_PLANLAEGGER_IKKE_AT_GORE_DET_I_AR,Q14_EDUCATION,Q3_EDUCATION_O2_JEG_GAR_I_2_HF,Q3_EDUCATION_O3_JEG_HAR_SABBATAR,Q3_EDUCATION_O4_INGEN_AF_OVENSTAENDE
193542215,193542215,1,1,0,17,10,2,10,Specifikke jobs,Ikke-velfærdsjobs,store byer2,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,NULL,NA,NA,NA
193542215,193542215,1,2,1,13,20,4,Kun kvote 2,Mange jobs2,Velfærdsjobs,små byer,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,NULL,NA,NA,NA
193542215,193542215,2,1,0,21,20,2,10,Specifikke jobs2,Velfærdsjobs 2,store byer1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,NULL,NA,NA,NA
193542215,193542215,2,2,1,25,10,5,Alle optaget,Mange jobs,Velfærdsjobs,store byer2,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,NULL,NA,NA,NA
193542215,193542215,3,1,1,17,5,4,Alle optaget,Mange jobs2,Velfærdsjobs,store byer2,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,NULL,NA,NA,NA
193542215,193542215,3,2,0,21,15,3.5,6,Specifikke jobs2,Ikke-velfærdsjobs2,store byer1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,NULL,NA,NA,NA
193542215,193542215,4,1,0,13,5,3.5,Alle optaget,Mange jobs,Ikke-velfærdsjobs,små byer,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,NULL,NA,NA,NA
193542215,193542215,4,2,1,21,10,5,Kun kvote 2,Mange jobs2,Ikke-velfærdsjobs2,store byer1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,NULL,NA,NA,NA
193542215,193542215,5,1,1,25,10,4,Kun kvote 2,Specifikke jobs,Velfærdsjobs 2,store byer1,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,NULL,NA,NA,NA
193542215,193542215,5,2,0,17,15,2,6,Specifikke jobs2,Ikke-velfærdsjobs,små byer,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,4,0,0,1,NULL,NA,NA,NA
